Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Default price,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [MCC],Price [MCC],In stock [MCC],Low stock [MCC],Available for sale [MOE],Price [MOE],In stock [MOE],Low stock [MOE],Available for sale [WareHouse],Price [WareHouse],In stock [WareHouse],Low stock [WareHouse],"Tax - ""VAT"" (5%)"
ring-2509150401,2509150401,Ring 2509150401,4 Ring,<p>FW Pearl</p>,N,,,,,,,110.00,55.00,2025091504013,,,Y,Y,110.00,1.000,1.000,N,110.00,0.000,,Y,110.00,0.000,,Y
ring-2509150402,2509150402,Ring 2509150402,4 Ring,<p>FW pearl 18KGP</p>,N,,,,,,,120.00,60.00,2025091504020,,,Y,Y,120.00,3.000,1.000,N,120.00,0.000,,Y,120.00,0.000,,Y
ring-2509150403,2509150403,Ring 2509150403,4 Ring,<p>Silver925 18kGP</p>,N,,,,,,,200.00,100.00,2025091504037,,,Y,Y,200.00,1.000,1.000,N,200.00,0.000,,Y,200.00,0.000,,Y
ring-2509150404,2509150404,Ring 2509150404,4 Ring,<p>Silver925 18kGP FW Pearl</p>,N,,,,,,,140.00,70.00,2025091504044,,,Y,Y,140.00,1.000,1.000,N,140.00,0.000,,Y,140.00,0.000,,Y
ring-2509150405,2509150405,Ring 2509150405,4 Ring,<p>Silver925 18kGP Opal</p>,N,,,,,,,210.00,105.00,2025091504051,,,Y,Y,210.00,0.000,1.000,N,210.00,0.000,,Y,210.00,0.000,,Y
ring-2510050402,2510050402,Ring 2510050402,[1] 2603 품절,<p>Brass 18kGP Zircon</p>,N,,,,,,,160.00,120.00,2025100504027,,,Y,Y,160.00,0.000,1.000,N,160.00,0.000,,Y,160.00,0.000,,Y
ring-2510050403,2510050403,Ring 2510050403,4 Ring,<p>SS 18kGP</p>,N,,,,,,,70.00,52.50,2025100504034,,,Y,Y,70.00,29.000,1.000,N,70.00,0.000,,Y,70.00,0.000,,Y
ring-2510050404,2510050404,Ring 2510050404,4 Ring,<p>SS 18kGP</p>,N,,,,,,,70.00,52.50,2025100504041,,,Y,Y,70.00,34.000,1.000,N,70.00,0.000,,Y,70.00,0.000,,Y
ring-2510050405,2510050405,Ring 2510050405,4 Ring,<p>SS 18kGP</p>,N,,,,,,,70.00,52.50,2025100504058,,,Y,Y,70.00,32.000,1.000,N,70.00,0.000,,Y,70.00,0.000,,Y
ring-2510050406,2510050406,Ring 2510050406,4 Ring,<p>Silver925 Zircon</p>,N,,,,,,,240.00,180.00,2025100504065,,,Y,Y,240.00,0.000,1.000,N,240.00,0.000,,Y,240.00,0.000,,Y
ring-2510050408,2510050408,Ring 2510050408,4 Ring,<p>SS 18kGP Natural Stone</p>,N,,,,,,,180.00,135.00,2025100504089,,,Y,Y,180.00,3.000,1.000,N,180.00,0.000,,Y,180.00,0.000,,Y
ring-2510050409,2510050409,Ring 2510050409,4 Ring,<p>SS 18kGP Opal</p>,N,,,,,,,160.00,120.00,2025100504096,,,Y,Y,160.00,4.000,1.000,N,160.00,0.000,,Y,160.00,0.000,,Y
ring-2510050410,2510050410,Ring 2510050410,4 Ring,<p>SS 18kGP Zircon</p>,N,,,,,,,110.00,82.50,2025100504102,,,Y,Y,110.00,2.000,1.000,N,110.00,0.000,,Y,110.00,0.000,,Y
ring-2510060401,2510060401,Ring 2510060401,[1] 2603 품절,<p>SS 18kGP Zircon</p>,N,,,,,,,110.00,82.50,2025100604017,,,Y,Y,110.00,0.000,1.000,N,110.00,0.000,,Y,110.00,0.000,,Y
ring-2510060403,2510060403,Ring 2510060403,4 Ring,<p>Titanium 18kGP Shell</p>,N,,,,,,,160.00,120.00,2025100604031,,,Y,Y,160.00,3.000,1.000,N,160.00,0.000,,Y,160.00,0.000,,Y
ring-2510060404,2510060404,Ring 2510060404,4 Ring,<p>Silver925</p>,N,,,,,,,200.00,150.00,2025100604048,,,Y,Y,200.00,1.000,1.000,N,200.00,0.000,,Y,200.00,0.000,,Y
ring-2510060405,2510060405,Ring 2510060405,4 Ring,<p>Silver925 Zircon</p>,N,,,,,,,180.00,135.00,2025100604055,,,Y,Y,180.00,1.000,1.000,N,180.00,0.000,,Y,180.00,0.000,,Y
ring-2510060406,2510060406,Ring 2510060406,4 Ring,<p>Silver925 Zircon</p>,N,,,,,,,230.00,135.00,2025100604062,,,Y,Y,180.00,7.000,1.000,N,180.00,0.000,,Y,230.00,0.000,,Y
ring-2510060407,2510060407,Ring 2510060407,4 Ring,<p>Silver925 18kGP Zircon</p>,N,,,,,,,200.00,150.00,2025100604079,,,Y,Y,200.00,6.000,1.000,N,200.00,0.000,,Y,200.00,0.000,,Y
ring-2510060409,2510060409,Ring 2510060409,4 Ring,<p>SS 18kGP</p>,N,,,,,,,120.00,90.00,2025100604093,,,Y,Y,120.00,2.000,1.000,N,120.00,0.000,,Y,120.00,0.000,,Y
ring-2510060410,2510060410,Ring 2510060410,4 Ring,<p>SS 18kGP</p>,N,,,,,,,150.00,112.50,2025100604109,,,Y,Y,150.00,1.000,1.000,N,150.00,0.000,,Y,150.00,0.000,,Y
ring-2510070401,2510070401,Ring 2510070401,4 Ring,<p>SS 18kGP Turquoise &amp; Zircon</p>,N,,,,,,,150.00,112.50,2025100704014,,,Y,Y,150.00,1.000,1.000,N,150.00,0.000,,Y,150.00,0.000,,Y
ring-2510070402,2510070402,Ring 2510070402,4 Ring,<p>SS 18kGP Zircon</p>,N,,,,,,,100.00,75.00,2025100704021,,,Y,Y,100.00,0.000,1.000,N,100.00,0.000,,Y,100.00,0.000,,Y
ring-2510070404,2510070404,Ring 2510070404,4 Ring,<p>SS 18kGP Zircon</p>,N,,,,,,,120.00,90.00,2025100704045,,,Y,Y,120.00,0.000,1.000,N,120.00,0.000,,Y,120.00,0.000,,Y
ring-2510070405,2510070405,Ring 2510070405,4 Ring,<p>Titanium 18kGP Zircon</p>,N,,,,,,,140.00,105.00,2025100704052,,,Y,Y,140.00,3.000,1.000,N,140.00,0.000,,Y,140.00,0.000,,Y
ring-2511050401,2511050401,Ring 2511050401,4 Ring,<p>SS 18kGP</p>,N,,,,,,,160.00,120.00,2025110504017,,,Y,Y,160.00,8.000,1.000,N,160.00,0.000,,Y,160.00,0.000,,Y
ring-2511050405,2511050405,Ring 2511050405,4 Ring,<p>SS 18kGP Pearl</p>,N,,,,,,,160.00,120.00,2025110504055,,,Y,Y,160.00,1.000,1.000,N,160.00,0.000,,Y,160.00,0.000,,Y
ring-2511050407,2511050407,Ring 2511050407,4 Ring,<p>SS 18kGP Zircon</p>,N,,,,,,,150.00,112.50,2025110504079,,,Y,Y,150.00,0.000,1.000,N,150.00,0.000,,Y,150.00,0.000,,Y
