Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Default price,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [MCC],Price [MCC],In stock [MCC],Low stock [MCC],Available for sale [MOE],Price [MOE],In stock [MOE],Low stock [MOE],Available for sale [WareHouse],Price [WareHouse],In stock [WareHouse],Low stock [WareHouse],"Tax - ""VAT"" (5%)"
1-lyn,10009,1 Lyn,Etc,,N,,,,,,,variable,0.00,,,,N,N,variable,,,Y,variable,,,N,variable,,,Y
1-regine,10008,1 Regine,Etc,,N,,,,,,,variable,0.00,,,,N,Y,variable,,,N,variable,,,N,variable,,,Y
1-rose,10010,1 Rose,Etc,,N,,,,,,,variable,0.00,,,,N,N,variable,,,Y,variable,,,N,variable,,,Y
anklet,10005,Anklet,Etc,,N,,,,,,,variable,0.00,,,,N,Y,variable,,,Y,variable,,,Y,variable,,,Y
06050501-anklet,06050501,Anklet 06050501,5 Anklet Etc,<p>Silver925</p>,Y,,,,,,,185.00,138.75,2024060505013,,,Y,Y,185.00,2.000,1.000,Y,185.00,0.000,,Y,185.00,0.000,,Y
08150504-anklet,08150504,Anklet 08150504,5 Anklet Etc,<p>Silver925 FW Pearl</p>,Y,,,,,,,240.00,180.00,2024081505047,,,Y,Y,240.00,4.000,1.000,N,240.00,0.000,,Y,240.00,0.000,,Y
08150505-anklet,08150505,Anklet 08150505,5 Anklet Etc,<p>Silver925 Zircon</p>,Y,,,,,,,190.00,142.50,2024081505054,,,Y,Y,190.00,2.000,1.000,N,190.00,0.000,,Y,190.00,0.000,,Y
09150501-anklet,09150501,Anklet 09150501,5 Anklet Etc,<p>Titanium 18kGP</p>,Y,,,,,,,140.00,105.00,2024091505013,,,Y,Y,140.00,0.000,1.000,N,140.00,0.000,,Y,140.00,0.000,,Y
11150504-anklet,11150504,Anklet 11150504,5 Anklet Etc,<p>Titanium 18kGP Zircon</p>,Y,,,,,,,190.00,142.50,2024111505047,,,Y,Y,190.00,0.000,1.000,Y,190.00,0.000,1.000,Y,190.00,0.000,,Y
11150505-anklet,11150505,Anklet 11150505,5 Anklet Etc,<p>Titanium 18kGP Zircon</p>,Y,,,,,,,190.00,142.50,2024111505054,,,Y,Y,190.00,0.000,1.000,Y,190.00,0.000,1.000,Y,190.00,0.000,,Y
anklet-2502100501,2502100501,Anklet 2502100501,5 Anklet Etc,<p>Silver925</p>,Y,,,,,,,280.00,210.00,2025021005016,,,Y,Y,280.00,3.000,1.000,N,280.00,0.000,,Y,280.00,0.000,,Y
anklet-2506050502,2506050502,Anklet 2506050502,5 Anklet Etc,<p>Titanium 18kGP</p>,N,,,,,,,130.00,97.50,2025060505027,,,Y,Y,130.00,2.000,1.000,N,130.00,0.000,,Y,130.00,0.000,,Y
anklet-2506050503,2506050503,Anklet 2506050503,5 Anklet Etc,<p>SS 18kGP</p>,N,,,,,,,140.00,105.00,2025060505034,,,Y,Y,140.00,0.000,1.000,N,140.00,0.000,,Y,140.00,0.000,,Y
anklet-2506050504,2506050504,Anklet 2506050504,5 Anklet Etc,<p>SS 18kGP</p>,N,,,,,,,160.00,120.00,2025060505041,,,Y,Y,160.00,3.000,1.000,N,160.00,0.000,,Y,160.00,0.000,,Y
anklet-2507050502,2507050502,Anklet 2507050502,[1] 2603 품절,<p>SS 18kGP</p>,N,,,,,,,140.00,105.00,2025070505024,,,Y,Y,140.00,0.000,1.000,N,140.00,0.000,,Y,140.00,0.000,,Y
anklet-2509050501,2509050501,Anklet 2509050501,5 Anklet Etc,<p>SS 18kGP</p>,N,,,,,,,130.00,97.50,2025090505011,,,Y,Y,130.00,1.000,1.000,N,130.00,0.000,,Y,130.00,0.000,,Y
anklet-2511050502,2511050502,Anklet 2511050502,5 Anklet Etc,<p>SS 18kGP</p>,N,,,,,,,140.00,105.00,2025110505021,,,Y,Y,140.00,0.000,1.000,N,140.00,0.000,,Y,140.00,0.000,,Y
anklet-2511050503,2511050503,Anklet 2511050503,5 Anklet Etc,<p>SS 18kGP</p>,N,,,,,,,140.00,105.00,2025110505038,,,Y,Y,140.00,0.000,1.000,N,140.00,0.000,,Y,140.00,0.000,,Y
anklet-2511050504,2511050504,Anklet 2511050504,[1] 2603 품절,<p>SS 18kGP</p>,N,,,,,,,170.00,127.50,2025110505045,,,Y,Y,170.00,0.000,1.000,N,170.00,0.000,,Y,170.00,0.000,,Y
anklet-2511050505,2511050505,Anklet 2511050505,5 Anklet Etc,<p>SS 18kGP Zircon</p>,N,,,,,,,180.00,135.00,2025110505052,,,Y,Y,180.00,1.000,1.000,N,180.00,0.000,,Y,180.00,0.000,,Y
anklet-2511050506,2511050506,Anklet 2511050506,5 Anklet Etc,<p>SS 18kGP Zircon</p>,N,,,,,,,180.00,135.00,2025110505069,,,Y,Y,180.00,0.000,1.000,N,180.00,0.000,,Y,180.00,0.000,,Y
anklet-2512050502,2512050502,Anklet 2512050502,5 Anklet Etc,<p>SS 18kGP Zircon</p>,N,,,,,,,180.00,135.00,2025120505028,,,Y,Y,180.00,4.000,1.000,N,180.00,0.000,,Y,180.00,0.000,,Y
anklet-2601150501,2601150501,Anklet 2601150501,Anklet,SS 18kGP Zircon,Y,,,,,,,160.00,120.00,2026011505011,,,Y,Y,160.00,0.000,1.000,Y,160.00,4.000,1.000,Y,160.00,0.000,,Y
anklet-2602150501,2602150501,Anklet 2602150501,Anklet,<p>SS 18kGP</p>,Y,,,,,,,140.00,105.00,2026021505018,,,Y,N,140.00,0.000,1.000,Y,140.00,2.000,1.000,N,140.00,0.000,,Y
anklet-2602150502,2602150502,Anklet 2602150502,Anklet,<p>SS 18kGP</p>,Y,,,,,,,140.00,105.00,2026021505025,,,Y,N,140.00,0.000,1.000,Y,140.00,3.000,1.000,N,140.00,0.000,,Y
anklet-2602150503,2602150503,Anklet 2602150503,Anklet,<p>SS 18kGP</p>,Y,,,,,,,140.00,105.00,2026021505032,,,Y,N,140.00,0.000,1.000,Y,140.00,0.000,1.000,N,140.00,0.000,,Y
anklet-2602150504,2602150504,Anklet 2602150504,Anklet,<p>SS 18kGP</p>,Y,,,,,,,140.00,105.00,2026021505049,,,Y,N,140.00,0.000,1.000,Y,140.00,2.000,1.000,N,140.00,0.000,,Y
anklet-2602150505,2602150505,Anklet 2602150505,Anklet,SS 18kGP,Y,,,,,,,140.00,105.00,2026021505056,,,Y,Y,140.00,-2.000,1.000,Y,140.00,1.000,1.000,Y,140.00,0.000,,Y
anklet-2602150506,2602150506,Anklet 2602150506,Anklet,SS 18kGP,Y,,,,,,,150.00,112.50,2026021505063,,,Y,Y,150.00,0.000,1.000,Y,150.00,-1.000,1.000,Y,150.00,0.000,,Y
anklet-2602150507,2602150507,Anklet 2602150507,Anklet,<p>SS 18kGP Zircon</p>,Y,,,,,,,180.00,135.00,2026021505070,,,Y,N,180.00,0.000,1.000,Y,180.00,3.000,1.000,N,180.00,0.000,,Y
anklet-2603150501,2603150501,Anklet 2603150501,Anklet,<p>SS 18kGP</p>,N,,,,,,,170.00,128.00,2026031505015,,,Y,N,170.00,0.000,,Y,170.00,0.000,1.000,N,170.00,0.000,,Y
anklet-2604150501,2604150501,Anklet 2604150501,Anklet,SS 18kGP,N,,,,,,,150.00,112.50,2026041505012,,,Y,Y,150.00,1.000,1.000,Y,150.00,0.000,1.000,Y,150.00,0.000,,Y
anklet-2605150501,2605150501,Anklet 2605150501,Anklet,SS 18kGP Zircon,N,,,,,,,180.00,135.00,2026051505019,,,Y,Y,180.00,1.000,1.000,Y,180.00,1.000,1.000,Y,180.00,0.000,,Y
anklet-2605150502,2605150502,Anklet 2605150502,Anklet,SS 18kGP Zircon,N,,,,,,,180.00,135.00,2026051505026,,,Y,Y,180.00,3.000,1.000,Y,180.00,2.000,1.000,Y,180.00,0.000,,Y
anklet-2606150501,2606150501,Anklet 2606150501,Anklet,<p>SS 18kGP</p>,N,,,,,,,140.00,105.00,2026061505016,,,Y,Y,140.00,2.000,1.000,Y,140.00,2.000,1.000,Y,140.00,0.000,,Y
anklet-2606150502,2606150502,Anklet 2606150502,New 2606,SS 18kGP FW Pearl,N,,,,,,,160.00,120.00,2026061505023,,,Y,Y,160.00,1.000,1.000,Y,160.00,1.000,1.000,Y,160.00,0.000,,Y
bangle,10003,Bangle,Etc,,N,,,,,,,variable,0.00,,,,N,Y,variable,,,Y,variable,,,Y,variable,,,Y
113122-bangle,10103122,Bangle 01010312,[1] 2603 품절,<p>SS 18kGP</p>,Y,,,,,,,180.00,90.00,2024010103122,,,Y,Y,180.00,0.000,1.000,N,180.00,0.000,,Y,180.00,0.000,,Y
bangle-01050311,1050311,Bangle 01050311,3 Bracelet Bangle,<p>SS 18kGP</p>,N,,,,,,,240.00,180.00,2025010503110,,,Y,Y,240.00,2.000,1.000,N,240.00,0.000,,N,240.00,0.000,,Y
01100307-bangle,01100307,Bangle 01100307,3 Bracelet Bangle,<p>SS 18kGP Zircon</p>,Y,,,,,,,170.00,127.50,2025011003077,,,Y,Y,170.00,3.000,1.000,N,170.00,0.000,,Y,170.00,0.000,,Y
01100308-bangle,01100308,Bangle 01100308,3 Bracelet Bangle,<p>SS 18kGP Zircon</p>,Y,,,,,,,170.00,127.50,2025011003084,,,Y,Y,170.00,5.000,1.000,N,170.00,0.000,,Y,170.00,0.000,,Y
463122-bangle-1,42503122,Bangle 04250312,3 Bracelet Bangle,<p>Silver925 18KGP Carbon Diamond</p>,Y,,,,,,,580.00,290.00,2023042503122,,,Y,Y,580.00,1.000,1.000,Y,580.00,1.000,,Y,580.00,0.000,,Y
05100312-bangle,05100312,Bangle 05100312,3 Bracelet Bangle,<p>SS 18kGP</p>,Y,,,,,,,155.00,116.25,2024051003122,,,Y,Y,155.00,3.000,1.000,Y,155.00,0.000,,Y,155.00,0.000,,Y
05100313-bangle,05100313,Bangle 05100313,3 Bracelet Bangle,<p>SS 18kGP</p>,Y,,,,,,,170.00,127.50,2024051003139,,,Y,Y,170.00,3.000,1.000,Y,170.00,0.000,,Y,170.00,0.000,,Y
05100314-bangle,05100314,Bangle 05100314,3 Bracelet Bangle,<p>SS 18kGP</p>,Y,,,,,,,185.00,138.75,2024051003146,,,Y,Y,185.00,2.000,1.000,Y,185.00,0.000,,Y,185.00,0.000,,Y
653047-bangle-1,62303047,Bangle 06230304,3 Bracelet Bangle,<p>SS 18kGP</p>,Y,,,,,,,230.00,115.00,2023062303047,,,Y,Y,230.00,1.000,1.000,Y,230.00,0.000,,Y,230.00,0.000,,Y
07050317-bangle,07050317,Bangle 07050317,3 Bracelet Bangle,<p>Titanium 18kGP</p>,Y,,,,,,,160.00,120.00,2024070503177,,,Y,Y,160.00,2.000,1.000,N,160.00,0.000,,Y,160.00,0.000,,Y
09150314-bangle,09150314,Bangle 09150314,3 Bracelet Bangle,<p>SS 18kGP</p>,Y,,,,,,,180.00,135.00,2024091503149,,,Y,Y,180.00,3.000,1.000,N,180.00,0.000,,Y,180.00,0.000,,Y
10100301-bangle,10100301,Bangle 10100301,3 Bracelet Bangle,<p>Zircon 18KGP</p>,Y,,,,,,,230.00,172.50,2024101003010,,,Y,Y,230.00,4.000,1.000,N,230.00,0.000,,Y,230.00,0.000,,Y
1013177-bangle,1903177,Bangle 10190317,3 Bracelet Bangle,<p>SS 18kGP</p>,Y,,,,,,,180.00,90.00,2023101903177,,,Y,Y,180.00,2.000,1.000,Y,180.00,0.000,1.000,Y,180.00,0.000,,Y
1023118-bangle,02103118,Bangle 10210311,[1] 2603 품절,<p>SS 18kGP Malachite</p>,Y,,,,,,,170.00,85.00,2023102103118,,,Y,N,170.00,0.000,,Y,170.00,0.000,1.000,N,170.00,0.000,,Y
1133143-bangle,12203143,Bangle 11220314,3 Bracelet Bangle,<p>SS 18kGP</p>,Y,,,,,,,170.00,85.00,2023112203143,,,Y,Y,170.00,1.000,1.000,Y,170.00,1.000,,Y,170.00,0.000,,Y
1213206-bangle,20103206,Bangle 12010320,3 Bracelet Bangle,<p>SS 18kGP Zircon</p>,Y,,,,,,,190.00,95.00,2023120103206,,,Y,Y,190.00,9.000,1.000,Y,190.00,0.000,,Y,190.00,0.000,,Y
12100316-bangle-1,12100316,Bangle 12100316,3 Bracelet Bangle,<p>Copper 18kGP Zircon</p>,Y,,,,,,,240.00,180.00,2024121003168,,,Y,Y,240.00,1.000,1.000,N,240.00,0.000,,Y,240.00,0.000,,Y
bangle-2502100312,2502100312,Bangle 2502100312,Bangle,<p>SS 18kGP Zircon</p>,Y,,,,,,,210.00,157.50,2025021003128,,,Y,Y,210.00,0.000,1.000,Y,210.00,0.000,1.000,Y,210.00,0.000,,Y
bangle-2504060313,2504060313,Bangle 2504060313,3 Bracelet Bangle,<p>SS 18kGP</p>,N,,,,,,,180.00,135.00,2025040603132,,,Y,Y,180.00,1.000,1.000,N,180.00,0.000,,Y,180.00,0.000,,Y
bangle-2505050315,2505050315,Bangle 2505050315,3 Bracelet Bangle,<p>SS 18kGP</p>,N,,,,,,,170.00,127.50,2025050503156,,,Y,Y,170.00,1.000,1.000,N,170.00,0.000,,Y,170.00,0.000,,Y
bangle-2505060311,2505060311,Bangle 2505060311,3 Bracelet Bangle,<p>SS 18kGP</p>,N,,,,,,,180.00,135.00,2025050603115,,,Y,Y,180.00,3.000,1.000,N,180.00,0.000,,Y,180.00,0.000,,Y
bangle-2505060314,2505060314,Bangle 2505060314,3 Bracelet Bangle,<p>SS 18kGP Zircon</p>,N,,,,,,,160.00,120.00,2025050603146,,,Y,Y,160.00,0.000,1.000,N,160.00,0.000,,Y,160.00,0.000,,Y
bangle-2506050312,2506050312,Bangle 2506050312,3 Bracelet Bangle,<p>SS 18kGP</p>,N,,,,,,,170.00,127.50,2025060503122,,,Y,Y,170.00,3.000,1.000,N,170.00,0.000,,Y,170.00,0.000,,Y
bangle-2507060313,2507060313,Bangle 2507060313,[1] 2603 품절,<p>SS 18kGP Zircon</p>,N,,,,,,,180.00,135.00,2025070603133,,,Y,Y,180.00,0.000,1.000,N,180.00,0.000,,Y,180.00,0.000,,Y
bangle-2509050313,2509050313,Bangle 2509050313,3 Bracelet Bangle,<p>SS 18kGP Zircon</p>,N,,,,,,,180.00,135.00,2025090503130,,,Y,Y,180.00,0.000,1.000,Y,180.00,1.000,1.000,Y,180.00,0.000,,Y
bangle-2509050314,2509050314,Bangle 2509050314,3 Bracelet Bangle,<p>SS 18kGP Zircon</p>,N,,,,,,,180.00,135.00,2025090503147,,,Y,Y,180.00,1.000,1.000,Y,180.00,1.000,1.000,Y,180.00,0.000,,Y
bangle-2509050315,2509050315,Bangle 2509050315,3 Bracelet Bangle,<p>SS 18kGP Zircon</p>,N,,,,,,,180.00,135.00,2025090503154,,,Y,Y,180.00,0.000,1.000,Y,180.00,0.000,1.000,Y,180.00,0.000,,Y
bangle-2509060311,2509060311,Bangle 2509060311,3 Bracelet Bangle,<p>SS 18kGP Zircon</p>,N,,,,,,,180.00,135.00,2025090603113,,,Y,Y,180.00,0.000,1.000,Y,180.00,0.000,1.000,Y,180.00,0.000,,Y
bangle-2509060312,2509060312,Bangle 2509060312,3 Bracelet Bangle,<p>SS 18kGP Zircon</p>,N,,,,,,,190.00,142.50,2025090603120,,,Y,Y,190.00,1.000,1.000,N,190.00,0.000,,N,190.00,0.000,,Y
bangle-2509060314,2509060314,Bangle 2509060314,3 Bracelet Bangle,<p>Titanium 18kGP</p>,N,,,,,,,180.00,135.00,2025090603144,,,Y,Y,180.00,0.000,1.000,N,180.00,0.000,,Y,180.00,0.000,,Y
bangle-2509070315,2509070315,Bangle 2509070315,3 Bracelet Bangle,<p>SS 18kGP Zircon</p>,Y,,,,,,,160.00,120.00,2025090703158,,,Y,Y,160.00,3.000,1.000,N,160.00,0.000,,Y,160.00,0.000,,Y
bangle-2509150311,2509150311,Bangle 2509150311,3 Bracelet Bangle,<p>Silver925 18kGP</p>,N,,,,,,,350.00,175.00,2025091503115,,,Y,Y,350.00,1.000,1.000,N,350.00,0.000,,Y,350.00,0.000,,Y
bangle-2509150313,2509150313,Bangle 2509150313,3 Bracelet Bangle,<p>Silver925 18kGP</p>,Y,,,,,,,635.00,317.50,2025091503139,,,Y,N,635.00,0.000,,Y,635.00,3.000,1.000,N,635.00,0.000,,Y
bangle-2510050311,2510050311,Bangle 2510050311,3 Bracelet Bangle,<p>Brass 18KGP Shell</p>,N,,,,,,,220.00,165.00,2025100503112,,,Y,Y,220.00,0.000,1.000,N,220.00,0.000,,Y,220.00,0.000,,Y
bangle-2510050312,2510050312,Bangle 2510050312,3 Bracelet Bangle,<p>Titanium 18kGP Zircon</p>,N,,,,,,,200.00,150.00,2025100503129,,,Y,Y,200.00,2.000,1.000,N,200.00,0.000,,Y,200.00,0.000,,Y
bangle-2510050313,2510050313,Bangle 2510050313,3 Bracelet Bangle,<p>SS 18kGP</p>,N,,,,,,,180.00,135.00,2025100503136,,,Y,Y,180.00,1.000,1.000,N,180.00,0.000,,Y,180.00,0.000,,Y
bangle-2510050314,2510050314,Bangle 2510050314,3 Bracelet Bangle,<p>SS 18kGP Zircon</p>,N,,,,,,,180.00,135.00,2025100503143,,,Y,Y,180.00,2.000,1.000,N,180.00,0.000,,Y,180.00,0.000,,Y
bangle-2511050311,2511050311,Bangle 2511050311,3 Bracelet Bangle,<p>SS 18kGP</p>,N,,,,,,,170.00,127.50,2025110503119,,,Y,Y,170.00,3.000,1.000,N,170.00,0.000,,Y,170.00,0.000,,Y
bangle-2511050312,2511050312,Bangle 2511050312,3 Bracelet Bangle,<p>SS 18kGP</p>,N,,,,,,,180.00,135.00,2025110503126,,,Y,Y,180.00,1.000,1.000,N,180.00,0.000,,Y,180.00,0.000,,Y
bangle-2511050314,2511050314,Bangle 2511050314,Bangle,<p>SS 18kGP</p>,N,,,,,,,180.00,135.00,2025110503140,,,Y,Y,180.00,0.000,1.000,Y,180.00,0.000,1.000,Y,180.00,0.000,,Y
bangle-2511050315,2511050315,Bangle 2511050315,3 Bracelet Bangle,<p>SS 18kGP</p>,N,,,,,,,190.00,142.50,2025110503157,,,Y,Y,190.00,1.000,1.000,N,190.00,0.000,,Y,190.00,0.000,,Y
bangle-2511060312,2511060312,Bangle 2511060312,3 Bracelet Bangle,<p>SS 18kGP Zircon</p>,N,,,,,,,190.00,142.50,2025110603123,,,Y,Y,190.00,0.000,1.000,N,190.00,0.000,,Y,190.00,0.000,,Y
bangle-2511060313,2511060313,Bangle 2511060313,[1] 2603 품절,<p>SS 18kGP Zircon</p>,N,,,,,,,190.00,142.50,2025110603130,,,Y,Y,190.00,0.000,1.000,N,190.00,0.000,,Y,190.00,0.000,,Y
bangle-2511060314,2511060314,Bangle 2511060314,3 Bracelet Bangle,<p>SS 18kGP Zircon</p>,N,,,,,,,190.00,142.50,2025110603147,,,Y,Y,190.00,0.000,1.000,N,190.00,0.000,,Y,190.00,0.000,,Y
bangle-2511070311,2511070311,Bangle 2511070311,[1] 2603 품절,<p>SS 18kGP Zircon</p>,N,,,,,,,190.00,142.50,2025110703113,,,Y,Y,190.00,0.000,1.000,N,190.00,0.000,,Y,190.00,0.000,,Y
bangle-2512050311,2512050311,Bangle 2512050311,3 Bracelet Bangle,<p>SS 18KGP</p>,N,,,,,,,180.00,135.00,2025120503116,,,Y,Y,180.00,0.000,1.000,N,180.00,0.000,,Y,180.00,0.000,,Y
bangle-2512050312,2512050312,Bangle 2512050312,3 Bracelet Bangle,<p>SS 18kGP Zircon</p>,N,,,,,,,180.00,135.00,2025120503123,,,Y,Y,180.00,4.000,1.000,N,180.00,0.000,,Y,180.00,0.000,,Y
bangle-2512050313,2512050313,Bangle 2512050313,3 Bracelet Bangle,<p>SS?18kGP</p>,N,,,,,,,190.00,142.50,2025120503130,,,Y,Y,190.00,3.000,1.000,N,190.00,0.000,,Y,190.00,0.000,,Y
bangle-2512060314,2512060314,Bangle 2512060314,3 Bracelet Bangle,<p>SS 18kGP</p>,N,,,,,,,200.00,150.00,2025120603144,,,Y,Y,200.00,0.000,1.000,Y,200.00,0.000,1.000,Y,200.00,0.000,,Y
bangle-2601150311,2601150311,Bangle 2601150311,Bangle,SS 18kGP,Y,,,,,,,170.00,127.50,2026011503116,,,Y,Y,170.00,4.000,1.000,Y,170.00,6.000,1.000,Y,170.00,0.000,,Y
bangle-2601150312,2601150312,Bangle 2601150312,Bangle,SS 18kGP,Y,,,,,,,180.00,135.00,2026011503123,,,Y,Y,180.00,4.000,1.000,Y,180.00,6.000,1.000,Y,180.00,0.000,,Y
bangle-2601150313,2601150313,Bangle 2601150313,Bangle,SS 18kGP,Y,,,,,,,180.00,135.00,2026011503130,,,Y,Y,180.00,3.000,1.000,Y,180.00,6.000,1.000,Y,180.00,0.000,,Y
bangle-2601150314,2601150314,Bangle 2601150314,Bangle,<p>SS 18kGP Zircon</p>,Y,,,,,,,190.00,142.50,2026011503147,,,Y,Y,190.00,0.000,1.000,Y,190.00,0.000,1.000,Y,190.00,0.000,,Y
bangle-2601150315,2601150315,Bangle 2601150315,Bangle,<p>SS 18kGP</p>,Y,,,,,,,180.00,135.00,2026011503154,,,Y,N,180.00,0.000,1.000,Y,180.00,3.000,1.000,N,180.00,0.000,,Y
bangle-2601160311,2601160311,Bangle 2601160311,Bangle,<p>SS 18kGP</p>,Y,,,,,,,190.00,142.50,2026011603113,,,Y,N,190.00,0.000,1.000,Y,190.00,4.000,1.000,N,190.00,0.000,,Y
bangle-2601160312,2601160312,Bangle 2601160312,Bangle,<p>SS 18kGP</p>,Y,,,,,,,200.00,150.00,2026011603120,,,Y,N,200.00,0.000,1.000,Y,200.00,0.000,1.000,N,200.00,0.000,,Y
bangle-2601160313,2601160313,Bangle 2601160313,Bangle,<p>SS 18kGP Zircon</p>,Y,,,,,,,180.00,135.00,2026011603137,,,Y,N,180.00,0.000,1.000,Y,180.00,4.000,1.000,N,180.00,0.000,,Y
bangle-2601160314,2601160314,Bangle 2601160314,Bangle,<p>SS 18kGP Zircon</p>,Y,,,,,,,190.00,142.50,2026011603144,,,Y,Y,190.00,0.000,1.000,Y,190.00,2.000,1.000,Y,190.00,0.000,,Y
bangle-2601160315,2601160315,Bangle 2601160315,Bangle,SS 18kGP Zircon,Y,,,,,,,190.00,142.50,2026011603151,,,Y,Y,190.00,2.000,1.000,Y,190.00,2.000,1.000,Y,190.00,0.000,,Y
bangle-2601170311,2601170311,Bangle 2601170311,[1] 2603 품절,SS 18kGP Zircon,Y,,,,,,,190.00,142.50,2026011703110,,,Y,Y,190.00,0.000,1.000,Y,190.00,0.000,1.000,Y,190.00,0.000,,Y
bangle-2601170312,2601170312,Bangle 2601170312,Bangle,SS 18kGP Zircon,Y,,,,,,,190.00,142.50,2026011703127,,,Y,Y,190.00,1.000,1.000,Y,190.00,5.000,1.000,Y,190.00,0.000,,Y
bangle-2601170313,2601170313,Bangle 2601170313,Bangle,<p>SS 18kGP Zircon</p>,Y,,,,,,,190.00,142.50,2026011703134,,,Y,Y,190.00,0.000,1.000,Y,190.00,0.000,1.000,Y,190.00,0.000,,Y
bangle-2601170314,2601170314,Bangle 2601170314,Bangle,SS 18kGP Zircon,Y,,,,,,,190.00,142.50,2026011703141,,,Y,Y,190.00,3.000,1.000,Y,190.00,0.000,1.000,Y,190.00,0.000,,Y
bangle-2602150311,2602150311,Bangle 2602150311,Bangle,<p>Brass 18KGP Catseye</p>,Y,,,,,,,190.00,142.50,2026021503113,,,Y,N,190.00,0.000,1.000,Y,190.00,1.000,1.000,N,190.00,0.000,,Y
bangle-2602150312,2602150312,Bangle 2602150312,Bangle,<p>Brass 18KGP Catseye</p>,Y,,,,,,,190.00,142.50,2026021503120,,,Y,N,190.00,0.000,1.000,Y,190.00,3.000,1.000,N,190.00,0.000,,Y
bangle-2602150313,2602150313,Bangle 2602150313,Bangle,<p>SS 18kGP</p>,Y,,,,,,,170.00,127.50,2026021503137,,,Y,N,170.00,0.000,1.000,Y,170.00,3.000,1.000,N,170.00,0.000,,Y
bangle-2602150314,2602150314,Bangle 2602150314,Bangle,<p>SS 18kGP</p>,Y,,,,,,,170.00,127.50,2026021503144,,,Y,N,170.00,0.000,1.000,Y,170.00,3.000,1.000,N,170.00,0.000,,Y
bangle-2602150315,2602150315,Bangle 2602150315,Bangle,<p>SS 18kGP</p>,Y,,,,,,,170.00,127.50,2026021503151,,,Y,N,170.00,0.000,1.000,Y,170.00,0.000,1.000,N,170.00,0.000,,Y
bangle-2602160311,2602160311,Bangle 2602160311,Bangle,<p>SS 18kGP</p>,Y,,,,,,,170.00,127.50,2026021603110,,,Y,N,170.00,0.000,1.000,Y,170.00,2.000,1.000,N,170.00,0.000,,Y
bangle-2602160312,2602160312,Bangle 2602160312,Bangle,<p>SS 18kGP</p>,Y,,,,,,,180.00,135.00,2026021603127,,,Y,N,180.00,0.000,1.000,Y,180.00,0.000,1.000,N,180.00,0.000,,Y
bangle-2602160313,2602160313,Bangle 2602160313,Bangle,SS 18kGP,Y,,,,,,,180.00,135.00,2026021603134,,,Y,Y,180.00,3.000,1.000,Y,180.00,3.000,1.000,Y,180.00,0.000,,Y
bangle-2602160314,2602160314,Bangle 2602160314,Bangle,SS 18kGP,Y,,,,,,,180.00,135.00,2026021603141,,,Y,Y,180.00,4.000,1.000,Y,180.00,3.000,1.000,Y,180.00,0.000,,Y
bangle-2602160315,2602160315,Bangle 2602160315,Bangle,<p>SS 18kGP</p>,Y,,,,,,,190.00,142.50,2026021603158,,,Y,N,190.00,0.000,1.000,Y,190.00,2.000,1.000,N,190.00,0.000,,Y
bangle-2602170311,2602170311,Bangle 2602170311,Bangle,<p>SS 18kGP</p>,Y,,,,,,,190.00,142.50,2026021703117,,,Y,N,190.00,0.000,1.000,Y,190.00,1.000,1.000,N,190.00,0.000,,Y
bangle-2602170312,2602170312,Bangle 2602170312,Bangle,SS 18kGP Zircon,Y,,,,,,,180.00,135.00,2026021703124,,,Y,Y,180.00,0.000,1.000,Y,180.00,0.000,1.000,Y,180.00,0.000,,Y
bangle-2602170313,2602170313,Bangle 2602170313,Bangle,SS 18kGP Zircon,Y,,,,,,,180.00,135.00,2026021703131,,,Y,Y,180.00,-1.000,1.000,Y,180.00,2.000,1.000,Y,180.00,0.000,,Y
bangle-2602170314,2602170314,Bangle 2602170314,Bangle,SS 18kGP Zircon,Y,,,,,,,180.00,135.00,2026021703148,,,Y,Y,180.00,-1.000,1.000,Y,180.00,1.000,1.000,Y,180.00,0.000,,Y
bangle-2602170315,2602170315,Bangle 2602170315,Bangle,SS 18kGP Zircon,Y,,,,,,,190.00,142.50,2026021703155,,,Y,Y,190.00,0.000,1.000,Y,190.00,0.000,1.000,Y,190.00,0.000,,Y
bangle-2602190311,2602190311,Bangle 2602190311,Bangle,<p>Copper 18kGP Zircon</p>,N,,,,,,,200.00,150.00,2026021903111,,,Y,Y,200.00,0.000,1.000,Y,200.00,1.000,1.000,Y,200.00,0.000,,Y
bangle-2602190312,2602190312,Bangle 2602190312,Bangle,<p>Copper 18kGP Zircon</p>,N,,,,,,,220.00,165.00,2026021903128,,,Y,Y,220.00,0.000,1.000,Y,220.00,0.000,1.000,Y,220.00,0.000,,Y
bangle-2602190313,2602190313,Bangle 2602190313,Bangle,<p>Copper 18kGP Zircon</p>,N,,,,,,,230.00,172.50,2026021903135,,,Y,Y,230.00,1.000,1.000,Y,230.00,0.000,1.000,Y,230.00,0.000,,Y
bangle-2602190314,2602190314,Bangle 2602190314,Bangle,<p>Zircon 18kGP</p>,N,,,,,,,230.00,172.50,2026021903142,,,Y,N,230.00,0.000,,Y,230.00,0.000,1.000,Y,230.00,0.000,,Y
